RA	DEC	Brightness
17.94   89.9 	5.55
14.85	74.16	5.49
15.35	71.83	4.57
16.77	82.04	3.36
14.46	75.70	3.34
15.73	77.79	3.30
17.54	86.59	3.23
14.15	77.55	2.77
15.52	77.35	2.59
15.28	71.82	2.56
16.18	75.88	2.10
17.51	86.97	1.81
16.21	75.21	1.23
17.28	89.04	1.19
14.12	74.59	1.13
14.95	74.90	0.74
15.92	75.57	0.69
15.29	71.21	0.31
15.36	73.48	0.19
14.76	71.97	0.07
15.09	73.89	0.00
